OID_,value
1,1209.617320341222012
2,1211.390290737153236
3,1234.292877646054194
4,1226.610444012810149
5,1210.788411617279053
6,1218.119805728688334
7,1227.002223744111461
8,1233.026150703430403
9,1251.300287583295130
10,1280.231676438277191
11,1301.118622779845509
12,1333.914441276999241
13,1305.777466269100614
14,1266.938560485839844
15,1238.430728687960027
16,1217.626690135283070
17,1211.143195152282260
18,1204.200468624339919
19,1184.447876874137819
20,1198.509712219239191
21,1202.973877401910613
22,1209.457349889417628
23,1215.702486038208235
24,1224.285573173971670
25,1226.790556066177260
26,1220.233072757721629
27,1204.880234213436324
28,1171.008438559138995
29,1135.461110115051042
30,1117.643773247213858
31,1108.965302411248103
32,1105.240812778473583
33,1101.805397482480657
34,1100.324600219725880
35,1097.513811588286899
36,1095.712711558622914
37,1094.448035745060224
38,1093.500437736511458
39,1091.692846410414859
40,1089.455241483800364
41,1087.565287113189015
42,1085.693692824418804
43,1085.814388050752996
44,1085.333315372466814
45,1084.154501971075661
46,1083.845495784982859
47,1083.277516841887746
48,1082.476599300607859
49,1082.926207598518431
50,1081.231446743011247
51,1083.126572104060870
52,1096.913227305693908
53,1124.667619228363719
54,1139.133171530331083
55,1146.105371811810073
56,1134.722394466400146
57,1116.997955771053057
58,1092.558665107277193
59,1074.790227413177263
60,1071.888253155875873
61,1069.285911560059048
62,1066.885925769804999
63,1067.787839552935793
64,1070.994460610782198
65,1066.713188171386946
66,1061.272647633272300
67,1057.085521473603649
68,1053.357751846313477
69,1048.111182268927450
70,1038.111086901496265
71,1033.765098810196150
72,1021.984596028047349
73,1022.813616135541338
74,1027.524966955185391
75,1029.768787608426692
76,1030.750074050006106
77,1005.414504766464233
78,986.145934834200034
79,984.799210941090223
80,983.543142080307121
81,981.247700410730886
82,979.946236778707771
83,980.022726535797233
84,979.978865230784663
85,979.327583986170339
86,979.997319936753001
87,1010.234168108771769
88,1021.435173034668537
89,1021.768832683563346
90,1013.467843224020498
91,1002.578567953670927
92,1023.240357398986475
93,1025.267824733959060
94,1024.634532704073536
95,1023.159671068191301
96,1022.716004539938581
97,1022.210118910846063
98,1021.122936248779411
99,1021.158292658188088
100,996.943644579719148
101,973.814094781875156
102,972.759859870461810
103,1217.024486290954201
104,1227.724623287424947
105,1249.753730113942993
106,1224.421417975508120
107,1212.555674384622989
108,1218.392478018895417
109,1231.375269483941793
110,1239.585444282083927
111,1249.055551284737021
112,1275.656491606293685
113,1324.525714649873180
114,1330.399656091181669
115,1303.126195782196191
116,1265.027966218837264
117,1239.816988301525043
118,1225.609521568853097
119,1205.639833338121434
120,1184.157750324393874
121,1172.808954047496627
122,1175.050895242129855
123,1179.928781054010642
124,1184.762603231778257
125,1201.454504125258154
126,1192.825731746052952
127,1195.909310627972900
128,1180.806988435633912
129,1162.087647329151196
130,1130.873957122485308
131,1114.557267581714768
132,1109.050712823042886
133,1109.937441710368375
134,1109.410799363079605
135,1106.247527759379409
136,1104.719626878784311
137,1105.171374152688259
138,1104.989141655628146
139,1106.649013215695049
140,1105.271262224983502
141,1096.983068551983934
142,1093.892678653493249
143,1092.918063893037470
144,1093.315663690798601
145,1092.514493843264063
146,1090.115592956544333
147,1090.861709964317015
148,1092.083185638110763
149,1093.694382611442961
150,1091.478105485646438
151,1090.282796787143752
152,1086.983688354491960
153,1083.153501094831199
154,1080.212881332451161
155,1086.952391680548772
156,1111.484170986293975
157,1134.702282757082912
158,1110.880773656507927
159,1080.824314209829708
160,1075.349755099074855
161,1072.356496474322512
162,1069.963055356563245
163,1066.545973200287335
164,1062.526670568130157
165,1060.902726856483696
166,1064.204751196204370
167,1064.341151069193529
168,1060.536036085504520
169,1053.520114568690133
170,1040.247618282541907
171,1036.583103905912594
172,1019.305790356698594
173,1009.392623452579073
174,1006.949390239781565
175,1011.217628347006553
176,1003.387079799876688
177,1000.158312101265096
178,993.833130938784279
179,995.713459463680124
180,985.565629477319476
181,984.946619792793626
182,981.832348094266536
183,982.791525025681267
184,981.138683068297951
185,978.823145698098756
186,979.963811432202306
187,978.218075867755260
188,977.619938569909891
189,978.266493642206342
190,1005.341175118944875
191,1015.987932093002996
192,1005.280846830057499
193,1011.830410756041488
194,1025.482090669520176
195,1024.008191804984790
196,1023.255862331719868
197,1022.893757315243533
198,1021.908776728751832
199,1021.297043110672575
200,1019.571866428151225
201,1020.268432194799061
202,992.371624692500632
203,973.359285466810888
204,971.987776706787372
205,1219.700463529277613
206,1252.658370522891573
207,1250.317176264462887
208,1222.704914238213632
209,1215.595149320715109
210,1220.972796483024013
211,1234.636891506946540
212,1245.746576197007926
213,1251.772689449745712
214,1272.272890929119967
215,1316.270216549143925
216,1304.059669573826341
217,1309.599558688365732
218,1299.501367456772186
219,1274.980955764083546
220,1240.161944221048543
221,1214.631091398351600
222,1203.539206112132206
223,1200.097056458153702
224,1181.232537213493060
225,1156.279603951530817
226,1159.288313604968153
227,1177.474142635570161
228,1180.181670614592576
229,1162.725773478049177
230,1157.990772920495374
231,1132.192774366755884
232,1116.301890020139354
233,1113.651272044461848
234,1121.005951878109499
235,1131.017941801605957
236,1124.861721263212075
237,1116.584228515625455
238,1114.908458670117170
239,1118.396099314969433
240,1118.034212633812103
241,1121.095641456261319
242,1120.920727449305559
243,1104.955165981833034
244,1106.193600136515897
245,1100.578332340015095
246,1104.336647957667083
247,1100.395071062662055
248,1099.274844001321298
249,1105.940397163575426
250,1110.700208406548427
251,1121.152649823356796
252,1121.676922966450547
253,1106.531881048604873
254,1095.511971866383647
255,1087.693126216479186
256,1086.641005994539228
257,1078.031006308163342
258,1086.184052886434074
259,1083.528955162603324
260,1071.690640617819327
261,1066.619296486402618
262,1067.076779692229138
263,1070.467427870806659
264,1067.624794719127976
265,1063.577451290143699
266,1059.387539134306962
267,1056.600078648762292
268,1056.883480718804549
269,1053.351704316981795
270,1045.527429494890612
271,1033.344290235051176
272,1030.799238317152685
273,1023.642049928025472
274,1023.591951469236733
275,1039.101431902717422
276,1038.067821463085465
277,1042.517848664915618
278,1027.228072671328391
279,994.080885309660971
280,990.426589490632409
281,991.016274171716987
282,984.983787457422977
283,983.646049737105614
284,982.684086294735494
285,981.184853101683871
286,982.779600783615365
287,982.487399830537811
288,978.514680539034998
289,978.303906081044374
290,978.204827252556470
291,976.479957870958515
292,975.466145974129745
293,980.116828694063202
294,987.790962404033621
295,1012.450085280262897
296,1024.982220593620696
297,1024.876159034386546
298,1022.778453153721784
299,1022.104090522317506
300,1023.522008981671888
301,1020.459936650154191
302,1018.580644944134747
303,1018.740330890801147
304,997.657996154574676
305,974.149004992316236
306,970.771000528830200
307,1229.439783881691937
308,1266.770309925079346
309,1241.591554529526547
310,1221.597923278808594
311,1224.071711063384782
312,1226.729240866267446
313,1234.523446924545624
314,1248.030325889586948
315,1265.949592590331349
316,1278.126565821030908
317,1301.799696445465543
318,1275.293355605181432
319,1275.923038258272072
320,1291.250672817230907
321,1276.855168959674302
322,1258.461034886977359
323,1245.673483848571777
324,1223.953939550063751
325,1209.357496373794675
326,1199.291090011595770
327,1180.554186652687804
328,1150.969252193674492
329,1143.740142345428012
330,1149.143884097828050
331,1139.825139214011415
332,1135.686754226682979
333,1121.371280894560186
334,1119.491796156939245
335,1127.146344184876625
336,1139.291857551125076
337,1142.325308855842422
338,1135.235579013825372
339,1127.543017667882850
340,1128.310190986184580
341,1136.569633483887401
342,1133.728113062240709
343,1134.572358524098263
344,1122.544098854066078
345,1114.594675400677716
346,1118.027662389418765
347,1112.902446269989468
348,1114.118819741641119
349,1109.840240478515398
350,1114.360222816467740
351,1127.068008871639222
352,1136.734344482422330
353,1149.256227493286360
354,1144.762968175552260
355,1122.873698515050364
356,1102.851938247681346
357,1094.641123154584648
358,1092.541357152601904
359,1078.065814018249966
360,1074.827392578124545
361,1074.812311509076608
362,1072.973997116089322
363,1069.358833761776395
364,1059.997429791618515
365,1067.199401855468523
366,1065.029410867129855
367,1060.888116275563334
368,1056.860425949097134
369,1052.361644520478649
370,1045.854594062356909
371,1036.403035163879849
372,1028.527929418228041
373,1031.099170011631259
374,1035.279043674469449
375,1038.535808338838024
376,1041.608625972972732
377,1044.429131984711375
378,1046.679135490866884
379,1039.508572522330496
380,995.345767498016357
381,989.617557750029050
382,989.092792735379930
383,988.632736444473608
384,984.399975944967878
385,983.686216690960805
386,982.972465515137060
387,988.329551921170946
388,1000.322035621194914
389,994.802668094635010
390,989.941799612606133
391,985.321993659524537
392,978.681321859359741
393,975.563229953541168
394,975.841986263499507
395,974.734979629516602
396,973.637009340174359
397,976.793796090518640
398,995.123453617095493
399,1012.906468335320255
400,1019.805213255040599
401,1022.218959808349723
402,1021.201578028062045
403,1020.836152693804479
404,1018.694286108016968
405,1012.657696667839559
406,984.633757647345760
407,973.724070549011003
408,969.525348214541737
409,1239.457832098833023
410,1263.002223744111234
411,1234.801301632784998
412,1225.990754757785680
413,1232.738330616670055
414,1233.203026161060961
415,1238.547147863051578
416,1250.541498969584154
417,1281.617081480454544
418,1306.677760563094353
419,1301.644578372731758
420,1274.189753020923263
421,1249.185377919549410
422,1244.170382780186628
423,1248.134703111483304
424,1228.717576604400620
425,1223.868167204015435
426,1196.483361267300097
427,1186.418267378757037
428,1180.908530740176275
429,1187.138578527113850
430,1179.177470804498398
431,1145.073686038746928
432,1132.080010542819991
433,1127.782717800470891
434,1130.254591100355810
435,1131.022482056932176
436,1136.349170935607845
437,1136.709297180176009
438,1152.389570295603335
439,1155.627833382893414
440,1147.803067824419713
441,1141.597215698663376
442,1145.328089096968142
443,1153.859062194823991
444,1154.857034122242112
445,1147.242196370161992
446,1127.039169311523210
447,1128.967640385082859
448,1131.050772379838008
449,1132.091126834645138
450,1123.048829392166454
451,1130.291486165926926
452,1139.832151973948157
453,1150.366061834316270
454,1152.602035997647135
455,1153.905020321116808
456,1146.145146247837147
457,1129.231558090263206
458,1108.689105314367225
459,1101.367149062635917
460,1091.189528310173955
461,1077.862205954159435
462,1078.926615045144672
463,1076.902411332180236
464,1074.042145672965944
465,1072.655076604400620
466,1059.666960085965229
467,1060.611625671386037
468,1064.326467124648843
469,1061.809726596292421
470,1059.187778248505992
471,1053.739032256975406
472,1036.877040559446414
473,1029.686743792365405
474,1035.856221868918055
475,1038.513023930850295
476,1040.299059250776963
477,1042.325830584992900
478,1045.790280246404564
479,1045.930523591882547
480,1046.012781057391521
481,1007.435457539805725
482,991.488356421975368
483,989.963550818419662
484,986.898592939013838
485,986.117419747745089
486,986.923205524167201
487,983.739061190595407
488,991.435841504265227
489,1011.129543212045860
490,1020.682067871092727
491,1024.218057744643147
492,1025.201755827274155
493,1023.641795861266928
494,1017.047846401438733
495,1005.892574745891011
496,984.059940958518155
497,975.317062377929574
498,974.954121203571162
499,973.738746299876198
500,972.191126655129551
501,974.426013986132261
502,978.259156751797605
503,986.233207253848718
504,998.177836593047004
505,1006.790838010583002
506,996.786531560561230
507,982.656285058256003
508,969.337908998905391
509,966.671640508314908
510,965.425272694096520
511,1254.151951773356586
512,1260.628224092370829
513,1234.773418070123853
514,1228.599734824421148
515,1239.414747350356265
516,1242.315110361699908
517,1251.176973230699787
518,1253.120966294233085
519,1276.349187408764237
520,1310.817863490754235
521,1308.115208345301426
522,1289.258056640623863
523,1263.943231813635066
524,1223.549069572897224
525,1211.178097629217518
526,1195.369092050307927
527,1186.236968545352283
528,1178.684993545901989
529,1175.695843442501655
530,1170.818454069250038
531,1155.168516588046487
532,1147.299405530249487
533,1136.882837183335823
534,1135.155403110806674
535,1140.339149343100644
536,1156.041738173540580
537,1155.464668036330977
538,1144.670441413007666
539,1153.000282287598111
540,1157.542458082153416
541,1172.031081889327652
542,1164.879779142492680
543,1159.621998084045345
544,1162.077130274788033
545,1159.103558708640321
546,1163.727988061607675
547,1146.154991704286658
548,1147.680050569422519
549,1147.868828479804733
550,1141.593099943908328
551,1134.907108082489685
552,1143.094892138841715
553,1155.944279337423950
554,1160.900616365320502
555,1161.309455000404569
556,1160.984012168172057
557,1160.365273419547975
558,1158.061500628514523
559,1141.259833207180463
560,1114.029800415037926
561,1106.661997019625460
562,1089.932915816257719
563,1079.089650771197512
564,1079.554312418902100
565,1077.881449874296777
566,1075.761689578785081
567,1072.218115572285342
568,1057.959633163926355
569,1056.642412522260884
570,1062.740814736970151
571,1061.034574620864760
572,1058.529297323788569
573,1047.424100143274927
574,1034.730634748729017
575,1039.525461533489988
576,1040.140172621783449
577,1039.253394314987418
578,1040.421659581801350
579,1043.393985101508633
580,1048.507897400113279
581,1048.113114300895631
582,1020.489888227522442
583,995.078216869526045
584,992.028875911937007
585,987.410564066217376
586,987.336640143476984
587,988.545848173253376
588,994.405511031101696
589,1004.256679653709170
590,1028.721810509176748
591,1033.046412062067247
592,1030.823213042684529
593,1030.260219798368553
594,1030.032605867484563
595,1030.087691679957516
596,1027.807614045985247
597,1027.502916593452937
