OID_,value
1,2182.315900914810754
2,2630.969710350037985
3,3091.722907571231644
4,3575.788654102999317
5,4039.267892837525324
6,4473.469392664293082
7,4893.542390711168082
8,5285.260293960571289
9,5685.134972067438866
10,6101.537910012635621
11,6417.842128753658471
12,6656.996023739085103
13,6910.086556827322056
14,6734.700654983517779
15,6255.390307258154280
16,5762.710810044227401
17,5287.563377380372003
18,4815.692298440371815
19,4333.675136790563556
20,3871.483655929565884
21,3418.290848675897450
22,2965.326246373791037
23,2546.248769760131836
24,2159.949905844293880
25,1815.682116340187576
26,1524.513416767119679
27,1242.077680026783810
28,926.537965886732991
29,674.972041726112366
30,444.422046997967925
31,326.916836430044725
32,190.632986038923292
33,132.692446933073199
34,107.108882483314034
35,209.128572404384613
36,251.214968428892490
37,243.701429170720701
38,220.335720926523322
39,175.697135953342354
40,110.354133886449475
41,102.160175710916533
42,127.431814193725614
43,184.070780305301270
44,254.953809976577872
45,246.578724019667703
46,255.618491481332455
47,317.985994160175039
48,375.000000000000114
49,321.484271554385941
50,98.993480622768388
51,108.043113540200665
52,410.817608608918761
53,595.391165375709647
54,848.350258771110589
55,1009.574431251077158
56,826.831620454787867
57,778.436138826257888
58,954.595019621008191
59,1284.692758083344643
60,1645.564673031076609
61,1946.929611206054688
62,1783.371887207031250
63,1634.186483495376024
64,1629.306289672852245
65,1526.888585090636525
66,1192.793808207791017
67,864.556607190300383
68,695.634468913078422
69,717.196613648358721
70,573.336929882273807
71,472.132953763008175
72,325.477015327004722
73,206.569521399105298
74,369.645848423242683
75,511.947965902440615
76,662.459292804493884
77,852.673431396484489
78,979.809265361112352
79,604.869545768288617
80,216.011316597461814
81,155.320037421058259
82,175.643037459429650
83,249.995765656232891
84,654.268660264856635
85,1081.467198540182835
86,1332.079487800598145
87,1278.137243383070654
88,1209.304796106674985
89,807.992122888564609
90,336.787147690268000
91,133.038631270913527
92,497.399904966354200
93,975.771095949061305
94,1480.275860057157615
95,1972.667889118193671
96,2340.577861112706614
97,2384.999999999999091
98,2399.588386535644077
99,2425.573361565084269
100,2189.818258846507433
101,1918.254022598265465
102,1580.603936588062652
103,1999.917512570286135
104,2478.981751385858388
105,2963.332165569582230
106,3465.491077462696467
107,3954.423585779528366
108,4441.325658250435481
109,4940.132842911979424
110,5419.177050422219509
111,5878.429603022271294
112,6339.194050402789799
113,6770.404941334440991
114,7085.508917468642721
115,7096.584986280816338
116,6640.185974121090112
117,6152.049157588124217
118,5650.363728981939857
119,5164.981412999765780
120,4681.635835112997484
121,4186.480225454150968
122,3709.541629566866050
123,3236.905042813310956
124,2756.320804160358421
125,2300.004323622760239
126,1863.150256727805527
127,1452.451089086829825
128,1122.708356071922026
129,851.574205233564271
130,546.921930702500163
131,253.543225456686628
132,113.871731213632401
133,159.373075465430162
134,265.563972585341617
135,329.241222447590076
136,311.171063037066801
137,593.584902707268043
138,731.372675700996638
139,728.513446953057837
140,710.618622611550677
141,611.104311405168914
142,481.367292991558656
143,467.475197623758106
144,551.364920751446334
145,646.047883875229672
146,745.074431363274357
147,737.470417801484587
148,745.148652073421317
149,791.590334499583605
150,868.680325306822851
151,706.315026411960389
152,374.051089679493373
153,160.076228527874434
154,108.721688610459751
155,181.600485801696777
156,515.238698781155449
157,566.952412747181484
158,370.158245030571607
159,302.678447710189118
160,593.056724152350625
161,947.823695238898154
162,1330.822755173415544
163,1619.550091066987534
164,1355.464314180261681
165,1151.881030653586777
166,1144.568431603455565
167,1158.710116666906288
168,828.948958769801607
169,485.244342157172355
170,222.894599437713623
171,304.828516976643414
172,175.577572225286872
173,95.350435481351965
174,124.022037044115990
175,214.086888824779834
176,106.424992168650860
177,122.340116982641533
178,207.227376733271683
179,449.165033256306060
180,652.150708894827972
181,321.727623065037619
182,122.831751038046406
183,432.671049283037348
184,400.350060802842336
185,108.894684931811142
186,404.588727825652995
187,748.747737580929424
188,861.117123772116315
189,785.212442893057755
190,786.341400252082053
191,679.672608095056717
192,252.824415583099039
193,214.041160900287537
194,669.692350948558442
195,1120.534191091993080
196,1565.819524322826965
197,1924.198037540212226
198,1907.313544567068675
199,1890.000000000000909
200,1908.395641102509899
201,1962.191281222966381
202,1775.918709619647643
203,1503.253357831169296
204,1265.480785330274102
205,1918.653634147247658
206,2399.919987398035119
207,2878.178765848023431
208,3369.385725291952895
209,3845.625117582434541
210,4324.582769585313144
211,4821.422354833475765
212,5306.028975542853914
213,5792.409684864295741
214,6294.927203854887011
215,6783.728723862592233
216,7253.232759785898452
217,7072.178384853485113
218,6578.846060360176125
219,6085.787535142734669
220,5578.145896410037494
221,5085.883306166704642
222,4594.215585464419746
223,4088.486391483294938
224,3598.776442583869539
225,3110.761072495403369
226,2610.698486328122272
227,2129.575886445887136
228,1654.536361324745485
229,1178.111362338478557
230,751.990666782154562
231,423.772780844084593
232,196.616903443650074
233,138.732539064743918
