OID_,value
1,1721.454034693100539
2,1714.414593442500291
3,1707.557165654061009
4,1699.799089768353952
5,1694.594582527978901
6,1689.102196505326447
7,1686.977525598861575
8,1690.091366883381170
9,1694.261755497810100
10,1691.842543658088061
11,1686.205432509056436
12,1681.638659625730043
13,1667.601788240320275
14,1664.794102441067480
15,1667.332310871269101
16,1662.661887673770480
17,1637.738206487212892
18,1624.631902252512873
19,1621.788871765136946
20,1621.160621299876539
21,1626.852085839506344
22,1632.388246424057343
23,1640.533059090478901
24,1648.696111236889465
25,1653.951825310202594
26,1654.686848254351844
27,1655.775927058552725
28,1656.983495824476677
29,1652.828984138462147
30,1668.410096270815529
31,1679.123497009276207
32,1684.275666867160680
33,1677.421602559337089
34,1672.726244309369122
35,1664.900416390707051
36,1664.157496468830459
37,1674.357806935031476
38,1685.380736037521956
39,1687.632670999810216
40,1683.090233297909208
41,1677.717091702259040
42,1688.377317223994623
43,1705.599690605612068
44,1711.803668276248345
45,1722.795332436742910
46,1732.140077029956501
47,1736.968550632569531
48,1733.795081115510811
49,1729.700942993164062
50,1721.382667198313584
51,1718.872997877919261
52,1731.943023232852283
53,1741.653599511381117
54,1736.697801636164741
55,1733.813460406134936
56,1727.357512688554152
57,1721.179080527547057
58,1713.251190185547330
59,1706.732117332801636
60,1705.761808296388153
61,1707.947030460133647
62,1703.139364169955115
63,1703.973279273220896
64,1707.002714269301350
65,1710.734724315392896
66,1724.299656851482268
67,1732.680883968577973
68,1735.992496266083890
69,1738.037606526411537
70,1747.908786100500265
71,1752.246591323801113
72,1748.574364051687098
73,1755.496948242187273
74,1769.722570927498055
75,1772.851265138408053
76,1781.605005152085141
77,1792.456077918874826
78,1801.185484783872425
79,1799.141778833726221
80,1786.255796861483532
81,1786.551741761732501
82,1784.773790247299303
83,1786.696209231050034
84,1797.841236365296481
85,1800.060820635627351
86,1806.332246668198195
87,1814.273840881136039
88,1811.544471291933860
89,1811.140980651221980
90,1820.554629210370194
91,1802.192007625804763
92,1801.015875898843206
93,1810.014084548686242
94,1819.949500140022337
95,1810.434218040387350
96,1815.820631403412790
97,1807.218368081484641
98,1808.651047439311697
99,1808.834106445312500
100,1808.834106445312500
101,1808.834106445312500
102,1808.996927122756460
103,1809.987246793860095
104,1796.536960271814678
105,1783.483355776249027
106,1775.925556407255044
107,1790.699422341316222
108,1781.221716012921661
109,1771.903306848863167
110,1788.713792424713574
111,1797.078626375298199
112,1802.735832663142901
113,1812.937580253838178
114,1810.734443004568902
115,1714.937771797179948
116,1710.154151467716019
117,1704.599430308622004
118,1701.423552513122331
119,1698.241210039923999
120,1693.356789981618476
121,1693.256951808929898
122,1692.889341466566520
123,1693.249914730296268
124,1693.350628852845148
125,1686.884755751666034
126,1673.280219134162280
127,1665.163469791413263
128,1664.961124195771617
129,1669.328173469096100
130,1662.563717365264438
131,1637.869606466854293
132,1625.209616268381978
133,1622.028120040894237
134,1622.048283296473983
135,1621.294475331026888
136,1627.765690326689764
137,1639.825993257410346
138,1648.307841132668727
139,1647.396743774415427
140,1645.057728038114647
141,1646.774074778837530
142,1649.714564323424611
143,1661.937742794260885
144,1672.932899475097656
145,1675.268895626067660
146,1675.006206288057228
147,1665.608185263240557
148,1662.365698814391635
149,1657.232166065889032
150,1667.245007234461355
151,1674.015674591064680
152,1682.843645432416452
153,1672.846491645363585
154,1673.692104816436995
155,1678.817544376148589
156,1685.185187844670509
157,1693.743670940399397
158,1703.161850873162393
159,1715.785845139447702
160,1729.215305328369368
161,1735.598665574018924
162,1728.524345846736878
163,1722.057518959044955
164,1714.602082196404581
165,1720.394641651826760
166,1735.215756893158414
167,1733.992854847627768
168,1731.585937051212341
169,1722.943252086639404
170,1721.249893188476108
171,1714.730278912712038
172,1707.167025089264143
173,1701.014038534725614
174,1701.334200241986082
175,1701.074853897094954
176,1701.353462219238054
177,1702.927146462832752
178,1708.508979320526805
179,1714.411943772259747
180,1725.851606481215413
181,1738.572567939757846
182,1742.881493512322322
183,1747.757941750919599
184,1754.423419475555875
185,1762.792846679687045
186,1765.572103612562387
187,1767.522600650787581
188,1767.485475427964957
189,1770.406508501838061
190,1774.576796531677246
191,1782.694322025075508
192,1788.170585632324446
193,1791.487886428832553
194,1779.303150401394987
195,1777.083174312816254
196,1779.261698246001060
197,1790.020821515251782
198,1793.890309053308329
199,1789.661805629729770
200,1797.547920675837759
201,1806.842156354118970
202,1804.248723030088740
203,1807.575175565831614
204,1818.305032169117794
205,1796.320803642273404
206,1795.818275900448270
207,1807.586839114917211
208,1811.238975048065186
209,1802.866953232708511
210,1801.808284535127768
211,1797.730868816375505
212,1802.748898674459952
213,1806.773402045755347
214,1805.020164489745866
215,1804.375955469468181
216,1806.623753715963403
217,1803.216822624205633
218,1793.436996459961392
219,1781.080642700194176
220,1773.365183830260776
221,1789.820409886978041
222,1781.084806554458055
223,1769.218056201935724
224,1780.860483506147602
225,1791.499149546903254
226,1799.998527050018083
227,1803.833796781652609
228,1800.924680822033906
229,1720.681348015280719
230,1716.038694177119851
231,1711.480727251838971
232,1707.132069307213214
233,1701.264332490808556
234,1692.942632866566782
235,1691.227396347943795
236,1690.695318413439736
237,1689.372154790224386
238,1688.186955171472846
239,1682.984595064474661
240,1678.300804058986159
241,1677.884885900160725
242,1674.688337596642896
243,1672.175596666171714
244,1657.056741153493022
245,1639.382999618160511
246,1627.157640080963120
247,1621.452845853917552
248,1620.765171354616768
249,1619.685233885028765
250,1625.296042947208434
251,1633.047341739429612
252,1643.473186770111624
253,1636.793198080624279
254,1642.016222679903422
255,1650.427931208099153
256,1652.983250337489608
257,1657.181406199314097
258,1664.680971561418801
259,1664.739269480985740
260,1661.229189334856073
261,1655.104573286115965
262,1654.167523552390321
