OID_,value
1,6583.304935230929914
2,6194.305684337154162
3,5731.256808904624449
4,5289.931967342603457
5,4859.074431633865061
6,4429.142529972696138
7,4029.637829948874696
8,3653.847537136408846
9,3299.591298456422464
10,2998.703495698816369
11,2755.108324097101558
12,2580.182828381809486
13,2494.952885347256142
14,2383.608751554390437
15,2182.603463248811295
16,1738.997788821949598
17,1272.001238654641384
18,808.904441437507217
19,408.176979233236466
20,141.445413477280624
21,273.510947969958124
22,708.892329833086478
23,1143.828993008623911
24,1598.691217442283687
25,2052.410861295812538
26,2518.757865720967857
27,3008.692793374244047
28,3489.703777537626593
29,3943.165148883541406
30,4017.282470703122272
31,3965.851214240582067
32,3976.446036474102129
33,4050.780083362619735
34,4181.293521656706616
35,4364.872153100667674
36,4602.043568541844252
37,4872.247011072497116
38,5176.108694109541830
39,5518.043201908519222
40,5873.184825224036103
41,6247.567612591914440
42,6649.721872296712718
43,7053.342877556292478
44,7468.072135529299885
45,7904.947260556334186
46,7959.409366383269116
47,7470.602559337152343
48,6960.646759772380392
49,6465.696265725528065
50,5970.754071826339896
51,5460.824595520652110
52,4965.906806497010621
53,4471.007467830881978
54,3961.137447792762487
55,3466.300056906308782
56,2971.517714978911044
57,2461.833786697124197
58,1967.297474580652079
59,1473.082443923685332
60,964.763909257406681
61,473.547062144560130
62,117.093101422266898
63,425.967596456666115
64,627.593421823838071
65,897.765309475697222
66,1123.749346142408513
67,938.356385848102263
68,816.520138011259519
69,840.024284177997856
70,705.890901789945815
71,753.019159864802077
72,846.088849024788715
73,900.003015181597220
74,935.949183902938444
75,1161.108285870931240
76,1499.475402832031250
77,1885.102014455829021
78,2268.561588907735768
79,2602.556612800150560
80,2974.240222548118254
81,3390.133815250594580
82,3815.620811013614002
83,4256.302268902737524
84,4721.547270355753426
85,5181.141089944282612
86,5646.778507853049632
87,6131.313643828397289
88,6605.250951430379246
89,7082.097549808065196
90,7563.821926024543245
91,7583.451841466569931
92,7248.896501270544832
93,6921.712792630837612
94,6622.592689065372724
95,6325.786235875323655
96,6013.305696164037727
97,5681.453498391543690
98,5240.407623607802634
99,4733.731740984534554
100,4241.499055750234220
101,3750.003363903007084
102,3244.723876108347667
103,2755.956638111786106
104,2269.925664248351950
105,1774.342815676362306
106,1303.438240948846214
107,846.473257520206857
108,391.488579825959278
109,102.681190378525685
110,467.926504537720859
111,970.329458692082085
112,1461.867834652171496
113,1955.118837349966725
114,2464.053277566772522
115,6226.536468505861194
116,6203.287283504709194
117,5952.827850341802332
118,5539.997936248782025
119,5130.213518928079793
120,4725.033355712889716
121,4352.766478538516822
122,4007.446372537048774
123,3687.353793873506220
124,3420.757659912109830
125,3209.425652896654356
126,3060.610750983744765
127,2979.520101547238937
128,2798.083603802846483
129,2373.451230217428474
130,1926.523455619812466
131,1496.221643335680028
132,1099.739850885728401
133,781.255816936492806
134,390.300266602460226
135,123.135366748361150
136,481.838276922702846
137,945.590965944178151
138,1439.609571120318606
139,1926.979300022126154
140,2417.485006893381069
141,2924.432876586913608
142,3416.311458587648758
143,3645.008721744312425
144,3530.348541259764261
145,3471.685355186464221
146,3483.780749152690078
147,3568.376074398264336
148,3715.856198310852051
149,3921.248869054458282
150,4183.617256613335485
151,4479.126750946038555
152,4807.862060546870453
153,5174.172575109144418
154,5551.358020782473432
155,5946.014854879937957
156,6367.235292322493478
157,6787.678289413449420
158,7217.674323586853461
159,7668.862864774815534
160,7920.358165740968616
161,7485.737460865695539
162,6976.888109992531099
163,6483.176828384395776
164,5989.632843017577216
165,5481.181322883157009
166,4987.728443145752863
167,4494.335955451511836
168,3986.068160113165050
169,3492.868227005004883
170,2999.835398954501670
171,2492.141063914577899
172,1999.861258029935925
173,1508.322596381691710
174,1002.087856741512383
175,511.099694848060437
176,123.059279245488824
177,451.815881112042518
178,906.697290182113306
179,1269.658513237448915
180,1529.547729492187500
181,1392.289703845978011
182,1308.984646965474894
183,1299.402259602265758
184,1194.187425851821217
185,1224.247158948112656
186,1334.187686695772982
187,1387.875762462616649
188,1418.366401672361917
189,1576.563853993135126
190,1854.715399742126010
191,2198.225576512952557
192,2586.528533935548694
193,2961.690043449403674
194,3301.754321827609601
195,3680.793618594898362
196,4076.000249862669079
197,4491.215714398550517
198,4934.349499870748332
199,5375.758481979371936
200,5825.868989832260922
201,6296.633428237022599
202,6758.977645874020709
203,7225.691009521481647
204,7527.989871754364685
205,7235.319608688349945
206,6885.627999698413987
207,6540.555042940025487
208,6226.756385803222656
209,5931.293108771831612
210,5621.508428237015323
211,5323.943735122678845
212,5049.349808636829039
213,4689.908827837777608
214,4216.969605445861816
215,3722.232468548944780
216,3212.588000129251213
217,2718.060358047483533
218,2223.747314901913342
219,1714.873782438389526
220,1221.877747535706476
221,731.811660542207846
222,241.920007144703504
223,195.043394535780010
224,608.434643128338962
225,1062.348695194019001
226,1524.947947978973843
227,2002.757733513327594
228,2502.013936659869159
229,5731.669390510112862
230,5747.252480266002749
231,5795.061129771298511
232,5645.634343764363621
233,5374.425049672900968
234,5047.906839654519899
235,4706.152526855469659
236,4388.724464073312447
237,4098.488191703610937
238,3860.339506261489078
239,3674.359564230103842
240,3545.084775086504123
241,3425.260185690489834
242,3046.478192075315292
243,2597.531269429877739
244,2182.844482421876364
245,1791.993758785683440
246,1375.476003257461116
247,926.938765133128413
248,470.335801226869876
249,119.197732153235890
250,428.663528274087582
251,909.526946704693273
252,1406.432274630324855
253,1885.806586321662508
254,2361.328582869267393
255,2847.485194433931156
256,3265.552859138039821
257,3195.531362355374313
258,3046.002889138190767
259,2977.800476971794069
260,2991.895719006814033
261,3090.004717236157376
262,3259.245548023895935
263,3491.619633974912631
264,3783.926910717183091
265,4108.336807250978381
266,4464.459803808933430
267,4856.758364984320906
268,5256.799084831682194
269,5671.984040468206331
270,6112.127554606399826
271,6548.986085779523819
272,6993.668796631702207
273,7458.424978711611402
274,7842.263390036191595
275,7522.044992836284109
276,7013.146661778226189
277,6519.090218936695237
278,6024.917134110077313
279,5515.769249094398219
280,5021.614358340991203
281,4527.485944596130139
282,4018.424780188960085
283,3524.388314639819782
284,3030.426748519949797
285,2521.622663346129684
286,2027.943723341997611
287,1534.232284176308440
288,1026.401590419887498
289,537.837370592005300
290,127.557040891020392
291,394.752004550815059
292,886.864110161276130
293,1381.181905040280526
294,1844.021450161521216
295,1864.291332469266308
296,1802.881014814014634
297,1772.305818234348408
298,1686.477241516113963
299,1707.927752115321709
300,1817.592688959774705
301,1877.104312672334345
302,1907.313544567067993
303,2027.844540289117731
304,2251.263986026541261
305,2552.638257089368381
306,2908.586707936853600
307,3280.379971672507054
308,3655.821900681232364
309,4012.044543414792770
310,4377.441977108226638
311,4766.508397085852266
312,5186.183860699609795
313,5607.798285989201759
314,6040.662509799412874
315,6495.883609969726422
316,6944.970828785616504
317,7374.308735672579132
318,7277.398451016441868
319,6898.894384047565836
320,6535.598615916956078
321,6175.492589613969358
322,5842.584680893842233
323,5532.970861943123055
324,5231.135743877052846
325,4926.354443718406401
326,4636.917456814988327
327,4376.965557586774594
328,4126.636575137869841
329,3749.330786893110599
330,3253.587585660412969
331,2766.188466689165125
332,2279.748745505784427
333,1779.074448107021681
334,1294.149993447695351
335,811.143529132987624
336,314.678960252385707
337,163.529789195341266
338,624.227919634650561
339,1116.276971625622082
340,1590.478257123161484
341,2062.845005761379525
342,2550.019470426038424
343,5221.832623650042478
344,5238.932463438037303
345,5300.310242755189392
346,5216.271940343520328
347,5050.882126540878744
348,4924.048929498272628
349,4741.056127211624698
350,4522.574497526491541
351,4330.525518186365844
352,4178.360686358279963
353,4032.513742836289566
354,3919.509226657116869
355,3702.128014059628640
356,3294.262811046981824
357,2844.632519362294715
358,2384.416301054112864
359,1895.402177751269392
360,1387.410109364862365
361,896.569331225226506
362,414.606375354384170
363,111.703919328207832
364,380.278204356922799
365,799.206499885110929
366,1267.917725454151878
367,1734.813318589153823
368,2209.584729046145185
369,2704.836985023787747
370,2951.798801197725425
371,2728.025271511408391
372,2551.243642206422919
373,2469.416167315315761
374,2486.394326813907355
375,2603.619773363159311
376,2802.414724013385694
377,3069.544840776385172
378,3398.352841492753214
379,3756.243311264936438
380,4142.716866991508141
381,4562.762767963344231
382,4986.464281867533828
383,5422.370777803307647
384,5881.224774951341715
385,6334.039434096393052
386,6792.797993485077313
387,7270.406065838557879
388,7721.709698845356797
389,7544.866221074828900
390,7035.943952408631958
391,6542.149537927963138
392,6048.554385069745877
393,5540.262789927555787
394,5047.248517204734526
395,4554.669852603269646
396,4047.779863720533285
397,3556.642965877758343
398,3066.763223298280991
399,2564.088661906629113
400,2079.584183636832222
401,1601.595035328585482
402,1124.120220039130800
403,687.617409650017180
404,358.080166932208272
405,513.798100032609000
406,945.944350074319345
407,1419.914481931904447
408,1919.320951151600411
409,2297.354198680203808
410,2312.240855286279384
411,2266.213212485133226
412,2194.964133767520707
413,2211.486502571502115
414,2314.042211829584176
415,2382.176888858570692
416,2413.650588302874439
417,2509.988576077261314
418,2693.672904519475651
419,2950.543499270113443
420,3272.332825340613908
421,3618.478149414062045
422,3985.928765003244280
423,4372.969459612888386
424,4722.106946159813560
425,5084.889492998485366
426,5480.237358753242006
427,5880.793553969438108
428,6294.926715573634283
429,6732.978716681985134
430,7167.216525807099060
431,7350.263029844290031
432,6969.433350454155516
433,6572.958672018611651
434,6190.840085356292548
435,5814.589358847857511
436,5464.840865191292323
437,5133.858324097099285
438,4819.111750513628976
439,4527.434311810659892
440,4220.628232962527363
441,3933.548811229455623
442,3698.823033949907767
443,3509.055706301361170
444,3236.035952874946815
445,2830.470236385568114
446,2361.909645159764750
447,1869.573141236617630
448,1394.170049330766687
449,920.362069205841749
450,436.582377080686456
451,115.678546653074420
452,493.105438496414877
453,983.307902088627429
454,1463.587497935575584
455,1948.868999124810671
456,2452.867488240701732
457,4727.024574279786975
458,4745.905549890852853
459,4812.553865320543082
460,4757.816677093509497
461,4579.790356804341172
462,4442.445592543658677
463,4303.969140052796320
464,4085.820632036994084
465,3907.841971004709649
466,3792.264107704163052
467,3672.523722031537545
468,3558.864686853743024
469,3469.091780662534802
470,3348.979598999022983
471,2936.264979642979142
472,2452.524124145506903
473,1973.099565393785042
474,1487.472717285156023
475,1033.089933395385742
476,626.861299178179593
477,268.354450674617681
478,178.541399031877546
479,646.502279169419353
480,1149.544847824993667
481,1641.632923603056497
482,2135.091103497672520
483,2614.604583740233466
484,2566.779519081114358
485,2291.526573629940231
486,2078.033465665930635
487,1976.777287483216469
488,1997.931342629825167
489,2141.979991688447626
490,2379.618615150450751
491,2688.973537669465259
492,3058.917633954217308
493,3452.184721946714035
494,3869.094960829791489
495,4315.839518827549000
496,4761.573368072509766
497,5216.283003863164595
498,5691.770509607648819
499,6158.537185668947131
500,6629.439857034123634
501,7118.015427533319780
502,7594.576953887941272
503,7589.325681798600272
504,7084.673625272866047
505,6594.526618957517712
506,6105.171393899359828
507,5602.020199046412927
508,5114.956977844238281
509,4629.596832275390625
510,4131.911898444677718
511,3652.094166755675815
512,3176.994363223805067
513,2694.973735136145024
514,2238.928615570066540
515,1800.750416475184238
516,1372.130236457375076
517,1014.599893808363618
518,817.569768344654676
519,897.451324911678398
520,1197.660764694213412
521,1598.814663606530985
522,2055.155701581168614
523,2516.749171257017679
524,2793.994183708640321
525,2748.730262307562043
526,2689.045697212220603
527,2702.543722713698116
528,2795.644800522749847
529,2872.994036674498147
530,2906.320014504826759
531,2986.789141486674453
532,3142.672514915464944
533,3365.426081040327517
534,3651.042530732996966
535,3971.141966819761365
536,4318.243166755226412
537,4694.368304084329793
538,5070.198801040647595
539,5421.859181123617418
540,5794.249741498158983
541,6174.445381164550781
542,6570.098209156706616
543,6990.922162224268504
544,7357.462240219118030
545,7130.930326573994535
546,6693.784438189339198
547,6279.950345993045630
548,5878.814243092253491
549,5481.522837919349513
550,5114.670038223263873
551,4765.174688002642142
552,4427.584167480466022
553,4127.621592521671118
554,3833.899464326745601
555,3520.027920891256144
556,3257.729387283327469
557,3048.050547880286103
558,2853.355854707607705
559,2580.423126220703125
560,2231.535431805778444
561,1794.723220825195540
562,1343.516566753387679
563,894.748150769402173
564,438.105332907508568
565,109.226518094539713
566,434.526538119596580
567,936.283656849580211
568,1429.064740180968556
569,1923.012639662799074
570,2432.377480002010543
571,4232.262000588809315
572,4253.342215884516918
573,4324.686337586500485
574,4293.839272891775181
575,4114.378798963288318
576,3960.911371039684582
577,3851.450080422793235
578,3638.916174443124419
579,3437.851077597857966
580,3306.489274866441065
581,3198.266792482159417
582,3074.082967263191676
583,2979.772722132064700
584,2941.758761184848481
585,2886.320932566501597
586,2483.751466638902002
587,1990.940393784466778
588,1484.725168617538657
589,997.093098359949522
590,523.917650427372678
591,147.388623485103210
592,236.389044144574200
593,670.572149468127918
594,1163.434884780830089
595,1651.374895881204566
596,2142.594726562496817
597,2446.947226765247706
598,2169.235218721275942
599,1878.203976535467064
600,1618.075638820555014
601,1485.742091908174189
602,1513.782179677363501
603,1699.452803984645698
