OID_,value
1,9178.737512925095871
2,8684.521014678854044
3,8175.426921699288869
4,7681.420471191406250
5,7187.552227508650503
6,6678.892730184903485
7,6185.403654210710556
8,5692.179827733018101
9,5184.362404371214325
10,4691.930633544920056
11,4200.109554937556823
12,3694.269309073583827
13,3204.558937521543157
14,2716.789479819960889
15,2217.580553734592286
16,1738.997788821949598
17,1272.001238654641384
18,808.904441437507217
19,408.176979233236466
20,141.445413477280624
21,273.510947969958124
22,708.892329833086478
23,1143.828993008623911
24,1598.691217442283687
25,2052.410861295812538
26,2518.757865720967857
27,3008.692793374244047
28,3489.703777537626593
29,3974.181755514706310
30,4475.736464978916956
31,4964.179716222425668
32,5453.816252500540941
33,5958.898702760056040
34,6447.039356904868328
35,6932.289910656358188
36,7429.867589613968448
37,7910.926867316746211
38,8390.667602116671333
39,8885.724744539364110
40,9367.742880428537319
41,9851.061053741346768
42,9953.603600102720520
43,9465.475503360527000
44,8970.501740241132211
45,8460.532017057741541
46,7965.565070657172328
47,7470.602559337152343
48,6960.646759772380392
49,6465.696265725528065
50,5970.754071826339896
51,5460.824595520652110
52,4965.906806497010621
53,4471.007467830881978
54,3961.137447792762487
55,3466.300056906308782
56,2971.517714978911044
57,2461.833786697124197
58,1967.297474580652079
59,1473.082443923685332
60,964.763909257406681
61,473.547062144560130
62,117.093101422266898
63,425.967596456666115
64,627.593421823838071
65,897.765309475697222
66,1281.364060979399483
67,1667.100434695972581
68,1944.689518172848466
69,2274.665797672469580
70,2649.912739473230886
71,3059.707560080556505
72,3504.869715073526550
73,3951.902562758502881
74,4409.286904938902808
75,4888.160188351540455
76,5358.424652099610284
77,5832.821642179386799
78,6324.880006149977817
79,6804.983125574444784
80,7287.098597331855672
81,7785.506102670849032
82,8270.600760067212832
83,8756.814743728373287
84,9258.731262840619820
85,9688.622727338004552
86,9476.629176578713668
87,9068.241312310774447
88,8682.091545553763353
89,8307.616971237026519
90,7935.329196177551239
91,7585.479504753560832
92,7248.896501270544832
93,6921.712792630837612
94,6622.651634665096026
95,6332.361373742968681
96,6025.208614362564731
97,5743.672720516427944
98,5492.049176173230990
99,5268.824027830342857
100,5091.591588637410496
101,4958.085579314447386
102,4869.344402168038869
103,4832.946913775279427
104,4838.193460748268990
105,4890.093483050389295
106,4989.811124913831009
107,5135.962299280925436
108,5330.385144085210413
109,5557.306694479548241
110,5817.912198921383606
111,6116.616805660681166
112,6431.883805218867565
113,6768.638151492215911
114,7132.287148234753658
115,9217.753433227540881
116,8725.748445398663534
117,8219.208593031939017
118,7727.999702453613281
119,7237.313106761260315
120,6732.414789536416720
121,6243.154800415038153
122,5754.887524773092082
123,5253.136801326976638
124,4767.807252883913861
125,4284.716284359200472
126,3790.188951380111575
127,3314.663452148437500
128,2845.868452184341550
129,2373.451230217428474
130,1926.523455619812466
131,1496.221643335680028
132,1099.739850885728401
133,781.255816936492806
134,390.300266602460226
135,123.135366748361150
136,481.838276922702846
137,945.590965944178151
138,1439.609571120318606
139,1926.979300022126154
140,2417.485006893381069
141,2924.432876586913608
142,3417.109163284300394
143,3906.787383135625532
144,4406.672269933366806
145,4887.966022491458716
146,5366.345015581911866
147,5857.426172593061892
148,6335.454252243043811
149,6815.921666762411405
150,7312.965901094323272
151,7796.985254287722455
152,8282.315095789297629
153,8783.475018669576457
154,9270.813282012941272
155,9758.930139878211776
156,9948.541410558360440
157,9477.424633026123047
158,8983.109762752765164
159,8473.898882697607405
160,7979.760612487791150
161,7485.737460865695539
162,6976.888109992531099
163,6483.176828384395776
164,5989.632843017577216
165,5481.181322883157009
166,4987.728443145752863
167,4494.335955451511836
168,3986.068160113165050
169,3492.868227005004883
170,2999.835398954501670
171,2492.141063914577899
172,1999.861258029935925
173,1508.322596381691710
174,1002.087856741512383
175,511.099694848060437
176,123.059279245488824
177,451.815881112042518
178,906.697290182113306
179,1269.658513237448915
180,1605.063257553998255
181,1970.356711864471208
182,2340.782087438244616
183,2644.295537612017142
