OID_,value
1,4.351262166397643
2,3.055204292069667
3,3.602710861854493
4,2.652499569155385
5,3.252412341586653
6,2.886967809387454
7,1.838369509410661
8,2.443253070476970
9,2.963591357209690
10,2.076111246229094
11,2.205302630509267
12,4.429276593364650
13,3.785466201158294
14,0.848288194530975
15,3.589740978895486
16,6.322744962047127
17,6.128943967906869
18,1.540936172517681
19,0.765824027325246
20,2.993104115463663
21,3.152185723636699
22,3.842240734464103
23,4.909402834915374
24,4.717579487028006
25,4.763410561224993
26,4.423251170755257
27,2.393063324957982
28,4.133539668530882
29,6.201086555488379
30,6.062133574155789
31,3.431138857979985
32,3.211309723581824
33,5.122634740849264
34,3.352411321857395
35,4.469254505881799
36,6.662755350907782
37,6.249178260455237
38,3.940374327984647
39,3.706916099291771
40,4.992784469662340
41,3.390823424378070
42,5.518619643569403
43,4.856419997837611
44,4.598443147014172
45,6.018596772916591
46,6.016483197481748
47,3.086028102514653
48,3.653417369795507
49,3.009745714692946
50,4.149140994544672
51,5.706675414601821
52,5.554372312391507
53,3.793242583895637
54,4.055879108221059
55,4.386538760298314
56,3.748089050236044
57,3.830142502914664
58,4.683801520834950
59,3.498901237562866
60,4.609163630070571
61,3.489244571174769
62,1.261937386359516
63,1.945566387260558
64,2.178377540124689
65,2.755648916052286
66,4.308034296369880
67,2.988096537917636
68,3.036958191530927
69,3.894803316122931
70,4.538434945266035
71,4.158043019705580
72,4.711758167273442
73,5.030862006797071
74,4.998295417345518
75,4.092680924903979
76,4.261328862432171
77,5.001046019029449
78,5.222526387772343
79,5.116342684801888
80,4.943212860711823
81,4.237865059794442
82,2.556031972279442
83,4.820169070526104
84,4.867232193790095
85,6.005758964401832
86,4.702159316894509
87,4.876748164426083
88,6.153670513016335
89,5.508850654052208
90,6.363740055025868
91,6.990970668109024
92,5.641629411068758
93,6.282289305360266
94,6.005342670990267
95,6.761367324314315
96,5.552862536149243
97,6.880160929032543
98,3.708106810452616
99,0.000000000000000
100,0.000000000000000
101,0.000000000000000
102,0.633050122649560
103,4.825703270185523
104,5.625611694213841
105,5.597111088594352
106,4.782236215384568
107,6.113208533364596
108,6.403259534839941
109,4.899222644155508
110,4.959976274868196
111,4.937293512392213
112,4.219467750805264
113,3.292376557435955
114,8.262475302062644
115,3.466147092171014
116,3.746613965753248
117,2.961611830191138
118,1.856124525889754
119,1.893108757048408
120,2.714185993269306
121,2.505254587857050
122,2.869276733852424
123,2.033736775903140
124,3.223919133102755
125,3.798314378761196
126,4.963930881719161
127,0.764570482017007
128,0.381041804903790
129,3.054882384836674
130,6.266788962529975
131,5.582638073493451
132,1.715141842360882
133,1.217093485000078
134,1.576065084835350
135,3.876126850777143
136,4.055619882652538
137,4.286785070072206
138,4.209950686596772
139,4.204905908671208
140,4.420809848343625
141,4.988481561927233
142,5.407026995089836
143,5.958066706764789
